name,url,remote_testing,adaptive_irt,test_types,description,job_levels,duration,languages,key_features,source
Accounts Receivable Simulation (New),/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,TRUE,FALSE,Simulations,Simulated data entry test that measures the ability to process receivables and invoices.,Entry-Level; Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English (USA),Interactive simulation,Individual Test Solutions
ADO.NET (New),/solutions/products/product-catalog/view/ado-net-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Adobe Experience Manager (New),/solutions/products/product-catalog/view/adobe-experience-manager-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 17,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Adobe Photoshop CC,/solutions/products/product-catalog/view/adobe-photoshop-cc/,TRUE,TRUE,Knowledge & Skills,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 20,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Aeronautical Engineering (New),/solutions/products/product-catalog/view/aeronautical-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Aerospace Engineering (New),/solutions/products/product-catalog/view/aerospace-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Agile Software Development,/solutions/products/product-catalog/view/agile-software-development/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",Graduate,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Agile Testing (New),/solutions/products/product-catalog/view/agile-testing-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 13,English (USA),Job-specific knowledge assessment,Individual Test Solutions
AI Skills,/solutions/products/product-catalog/view/ai-skills/,TRUE,FALSE,Personality & Behavior,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,General Population,Approximate Completion Time in minutes = 16,English (USA),Personality assessment,Individual Test Solutions
Amazon Web Services (AWS) Development (New),/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 6,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Android Development (New),/solutions/products/product-catalog/view/android-development-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Angular 6 (New),/solutions/products/product-catalog/view/angular-6-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 11,English (USA),Job-specific knowledge assessment,Individual Test Solutions
AngularJS (New),/solutions/products/product-catalog/view/angularjs-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Apache Hadoop (New),/solutions/products/product-catalog/view/apache-hadoop-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Apache Hadoop Extensions (New),/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Apache HBase (New),/solutions/products/product-catalog/view/apache-hbase-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 5,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Apache Hive (New),/solutions/products/product-catalog/view/apache-hive-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 5,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Apache Kafka (New),/solutions/products/product-catalog/view/apache-kafka-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 6,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Apache Pig (New),/solutions/products/product-catalog/view/apache-pig-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 6,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Apache Spark (New),/solutions/products/product-catalog/view/apache-spark-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
ASP .NET with C# (New),/solutions/products/product-catalog/view/asp-net-with-c-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 13,English (USA),Job-specific knowledge assessment,Individual Test Solutions
ASP.NET 4.5,/solutions/products/product-catalog/view/asp-net-4-5/,TRUE,TRUE,Knowledge & Skills,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 30,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Assessment and Development Center Exercises,/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,TRUE,TRUE,Assessment Exercises,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more.",Director; Entry-Level; Executive; Front Line Manager; General Population; Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,Approximate Completion Time in minutes = Variable,English International; English (USA),,Individual Test Solutions
Automata - Fix (New),/solutions/products/product-catalog/view/automata-fix-new/,TRUE,FALSE,Simulations,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Mid-Professional,Approximate Completion Time in minutes = max 20,English (USA),Interactive simulation,Individual Test Solutions
Automata - SQL (New),/solutions/products/product-catalog/view/automata-sql-new/,TRUE,FALSE,Simulations,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = max 30,English (USA),Interactive simulation,Individual Test Solutions
Automata (New),/solutions/products/product-catalog/view/automata-new/,TRUE,FALSE,Simulations,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = max 45,English (USA),Interactive simulation,Individual Test Solutions
Automata Data Science (New),/solutions/products/product-catalog/view/automata-data-science-new/,TRUE,FALSE,Simulations,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = max 60,English (USA),Interactive simulation,Individual Test Solutions
Automata Data Science Pro (New),/solutions/products/product-catalog/view/automata-data-science-pro-new/,TRUE,FALSE,Simulations,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,Professional Individual Contributor; Mid-Professional,Approximate Completion Time in minutes = max 60,English (USA),Interactive simulation,Individual Test Solutions
Automata Front End,/solutions/products/product-catalog/view/automata-front-end/,TRUE,FALSE,Simulations,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.",Entry-Level; Graduate; Mid-Professional; Professional Individual Contributor; Manager,Approximate Completion Time in minutes = 30,English (USA),Interactive simulation,Individual Test Solutions
Automata Pro (New),/solutions/products/product-catalog/view/automata-pro-new/,TRUE,FALSE,Simulations,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = max 60,English (USA),Interactive simulation,Individual Test Solutions
Automata Selenium,/solutions/products/product-catalog/view/automata-selenium/,TRUE,FALSE,Simulations,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,Entry-Level; Graduate; Manager; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 60,English (USA),Interactive simulation,Individual Test Solutions
Automation Anywhere RPA Development (New),/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Automotive Engineering (New),/solutions/products/product-catalog/view/automotive-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 13,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Basic Biology (New),/solutions/products/product-catalog/view/basic-biology-new/,TRUE,FALSE,Knowledge & Skills,Multi choice test that measures the candidate's basic understanding of Biology.,Professional Individual Contributor; Graduate; Mid-Professional,Approximate Completion Time in minutes = 6,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Basic Computer Literacy (Windows 10) (New),/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,TRUE,FALSE,Simulations; Knowledge & Skills,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.",Entry-Level,Approximate Completion Time in minutes = 30,English (USA),Interactive simulation; Job-specific knowledge assessment,Individual Test Solutions
Basic Statistics (New),/solutions/products/product-catalog/view/basic-statistics-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Biochemistry (New),/solutions/products/product-catalog/view/biochemistry-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Biotech Lab Techniques (New),/solutions/products/product-catalog/view/biotech-lab-techniques-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",Graduate; Professional Individual Contributor; Mid-Professional,Approximate Completion Time in minutes = 5,English (USA),Job-specific knowledge assessment,Individual Test Solutions
BizTalk (New),/solutions/products/product-catalog/view/biztalk-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 16,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Business Communication (adaptive),/solutions/products/product-catalog/view/business-communication-adaptive/,TRUE,TRUE,Knowledge & Skills,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.",Entry-Level; Front Line Manager; Manager; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 24,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Business Communications,/solutions/products/product-catalog/view/business-communications/,TRUE,TRUE,Knowledge & Skills,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",General,Approximate Completion Time in minutes = 35,English (USA),Job-specific knowledge assessment,Individual Test Solutions
C Programming (New),/solutions/products/product-catalog/view/c-programming-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
C# Programming (New),/solutions/products/product-catalog/view/c-programming-new-4039/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
C++ Programming (New),/solutions/products/product-catalog/view/c-programming-new-4122/,TRUE,FALSE,Knowledge & Skills,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Cardiology and Diabetes Management (New),/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 4,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Ceramic Engineering (New),/solutions/products/product-catalog/view/ceramic-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 12,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Chemical Engineering (New),/solutions/products/product-catalog/view/chemical-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.",Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 13,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Cisco AppDynamics (New),/solutions/products/product-catalog/view/cisco-appdynamics-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Civil Engineering (New),/solutions/products/product-catalog/view/civil-engineering-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.",Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Cloud Computing (New),/solutions/products/product-catalog/view/cloud-computing-new/,TRUE,TRUE,Knowledge & Skills,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
COBOL Programming (New),/solutions/products/product-catalog/view/cobol-programming-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 10,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Computer Science (New),/solutions/products/product-catalog/view/computer-science-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 12,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Contact Center Call Simulation (New),/solutions/products/product-catalog/view/contact-center-call-simulation-new/,TRUE,FALSE,Simulations,Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,Entry-Level,Approximate Completion Time in minutes = 15,English (USA),Interactive simulation,Individual Test Solutions
Conversational Multichat Simulation,/solutions/products/product-catalog/view/conversational-multichat-simulation/,TRUE,FALSE,Simulations,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.",General,Approximate Completion Time in minutes = 11,English (USA),Interactive simulation,Individual Test Solutions
Core Java (Advanced Level) (New),/solutions/products/product-catalog/view/core-java-advanced-level-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 13,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Core Java (Entry Level) (New),/solutions/products/product-catalog/view/core-java-entry-level-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 13,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Count Out The Money,/solutions/products/product-catalog/view/count-out-the-money/,TRUE,TRUE,Knowledge & Skills; Simulations,The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,Entry-Level,Approximate Completion Time in minutes = 5,English (USA); English (Australia); English (Canada); English International; English (South Africa),Job-specific knowledge assessment; Interactive simulation,Individual Test Solutions
CSS3 (New),/solutions/products/product-catalog/view/css3-new/,TRUE,FALSE,Knowledge & Skills,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Culinary Skills (New),/solutions/products/product-catalog/view/culinary-skills-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.",Graduate; Manager; Mid-Professional; Professional Individual Contributor; Supervisor,Approximate Completion Time in minutes = 7,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Customer Service Phone Simulation,/solutions/products/product-catalog/view/customer-service-phone-simulation/,TRUE,FALSE,Biodata & Situational Judgement; Simulations,"As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""",Entry-Level,Approximate Completion Time in minutes = 20,French (Canada); Portuguese (Brazil); Dutch; Italian; Spanish; French; Latin American Spanish; Chinese Simplified; English (Australia); English International; English (USA),Situational judgment test; Interactive simulation,Individual Test Solutions
Customer Service Phone Solution,/solutions/products/product-catalog/view/customer-service-phone-solution/,TRUE,FALSE,Biodata & Situational Judgement; Personality & Behavior; Simulations,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""",Entry-Level,Approximate Completion Time in minutes = 30,French (Canada); Italian; French; Dutch; Spanish; Portuguese (Brazil); Chinese Simplified; English (Australia); Latin American Spanish; English (USA); English International,Situational judgment test; Personality assessment; Interactive simulation,Individual Test Solutions
